Sentence (Input),Label,Correct Sentence (Output)
මිනිසුන් දෙදෙනෙකු මෝටර් රථ ක්‍රීඩාවක යෙදෙයි.,Correct,මිනිසුන් දෙදෙනෙකු මෝටර් රථ ක්‍රීඩාවක යෙදෙයි.
මිනිසුන් දෙදෙනෙකු ක්‍රීඩාවක යෙදෙයි. රථ මෝටර්,Incorrect,මිනිසුන් දෙදෙනෙකු මෝටර් රථ ක්‍රීඩාවක යෙදෙයි.
මෝටර්සයිකල් තරඟයකදී තරඟකරුවෙක් අනෙකා හඹා යයි.,Correct,මෝටර්සයිකල් තරඟයකදී තරඟකරුවෙක් අනෙකා හඹා යයි.
හඹා යයි. මෝටර්සයිකල් අනෙකා තරඟකරුවෙක් තරඟයකදී,Incorrect,මෝටර්සයිකල් තරඟයකදී තරඟකරුවෙක් අනෙකා හඹා යයි.
මෝටර් රථ තරගයක මෝටර් රථයක් වේගයෙන් ගමන් කරයි.,Correct,මෝටර් රථ තරගයක මෝටර් රථයක් වේගයෙන් ගමන් කරයි.
කරයි. රථ මෝටර් වේගයෙන් මෝටර් තරගයක රථයක් ගමන්,Incorrect,මෝටර් රථ තරගයක මෝටර් රථයක් වේගයෙන් ගමන් කරයි.
ක්‍රීඩකයන් දෙදෙනෙකු මෝටර් රථයක් පදවයි.,Correct,ක්‍රීඩකයන් දෙදෙනෙකු මෝටර් රථයක් පදවයි.
දෙදෙනෙකු ක්‍රීඩකයන් මෝටර් රථයක් පදවයි.,Incorrect,ක්‍රීඩකයන් දෙදෙනෙකු මෝටර් රථයක් පදවයි.
මිනිසෙක් ධාවනය වන මොටර් රථයක එල්ලී සිටියි.,Correct,මිනිසෙක් ධාවනය වන මොටර් රථයක එල්ලී සිටියි.
සිටියි. රථයක එල්ලී මිනිසෙක් මොටර් වන ධාවනය,Incorrect,මිනිසෙක් ධාවනය වන මොටර් රථයක එල්ලී සිටියි.
මිනිසෙකු වාහනයක් අලුත් වැඩියා කරයි.,Correct,මිනිසෙකු වාහනයක් අලුත් වැඩියා කරයි.
